member_id,age,plan_type,workouts_per_week,session_minutes,distance_km,months_active,trainer,referral_source,renewed
GYM3235,36.0,Basic,1,,,11.0,No,Friend,No
GYM3122,28.0,Basic,5,83.0,3.7,24.0,No,Friend,Yes
GYM3162,23.0,Pro,4,49.0,,33.0,No,Instagram,Yes
GYM3582,31.0,Pro,5,,4.3,6.0,No,Friend,Yes
GYM3315,22.0,Pro,4,35.0,3.9,25.0,No,Advertisement,Yes
GYM3509,25.0,Pro,2,67.0,2.2,32.0,Yes,Instagram,Yes
GYM3519,23.0,Pro,4,59.0,6.8,8.0,No,Walk-in,No
GYM3357,26.0,Pro,3,77.0,4.7,32.0,Yes,Walk-in,Yes
GYM3152,16.0,Pro,2,47.0,1.6,12.0,Yes,Walk-in,No
GYM3510,18.0,Basic,3,87.0,6.4,45.0,No,Friend,Yes
GYM3273,33.0,Elite,2,60.0,10.3,32.0,No,Friend,No
GYM3135,22.0,Basic,4,83.0,6.4,35.0,No,Friend,Yes
GYM3278,38.0,Pro,6,63.0,4.8,41.0,No,Friend,Yes
GYM3267,31.0,Pro,2,44.0,5.0,14.0,No,Advertisement,No
GYM3326,37.0,Elite,3,47.0,,7.0,No,Walk-in,No
GYM3220,20.0,Basic,3,65.0,2.8,22.0,Yes,Walk-in,Yes
GYM3375,24.0,Basic,0,57.0,4.7,8.0,No,Friend,No
GYM3144,21.0,Basic,1,111.0,2.2,31.0,No,Walk-in,No
GYM3400,16.0,Elite,3,69.0,2.8,21.0,No,Instagram,Yes
GYM3424,38.0,Pro,2,52.0,3.0,3.0,No,Walk-in,No
GYM3176,34.0,Elite,5,72.0,,18.0,No,Instagram,Yes
GYM3308,30.0,Basic,3,54.0,3.4,41.0,Yes,Walk-in,Yes
GYM3468,30.0,Basic,3,,10.7,14.0,Yes,Instagram,Yes
GYM3312,22.0,Basic,3,40.0,8.3,11.0,No,Instagram,No
GYM3367,23.0,Elite,1,58.0,4.9,18.0,No,Advertisement,No
GYM3411,30.0,Pro,6,69.0,1.5,2.0,Yes,Instagram,Yes
GYM3316,26.0,Pro,4,83.0,4.0,28.0,No,Friend,Yes
GYM3533,35.0,Basic,2,52.0,9.3,12.0,Yes,Advertisement,No
GYM3109,36.0,Pro,0,88.0,0.7,14.0,No,Instagram,No
GYM3503,31.0,Elite,4,59.0,3.4,26.0,Yes,Friend,Yes
GYM3521,23.0,Basic,2,72.0,4.9,27.0,No,Friend,No
GYM3385,16.0,Basic,3,77.0,1.9,7.0,No,Friend,No
GYM3395,29.0,Basic,6,56.0,2.0,27.0,No,Walk-in,Yes
GYM3204,27.0,Basic,4,64.0,13.1,34.0,Yes,Advertisement,Yes
GYM3412,21.0,Elite,3,75.0,2.7,8.0,No,Instagram,Yes
GYM3532,28.0,Elite,2,85.0,1.6,31.0,No,Friend,Yes
GYM3592,27.0,Basic,5,44.0,7.4,1.0,Yes,Friend,No
GYM3191,34.0,Basic,5,63.0,3.9,36.0,Yes,Walk-in,Yes
GYM3282,32.0,Pro,4,90.0,0.9,6.0,No,Instagram,Yes
GYM3415,31.0,Pro,5,,,,No,Walk-in,Yes
GYM3553,30.0,Pro,3,74.0,4.1,39.0,No,Friend,Yes
GYM3272,32.0,Basic,4,87.0,4.7,7.0,No,Friend,Yes
GYM3332,22.0,Elite,5,47.0,3.9,20.0,No,Friend,Yes
GYM3567,29.0,Pro,5,50.0,2.5,38.0,Yes,Instagram,Yes
GYM3136,17.0,Pro,2,,4.1,3.0,No,Friend,No
GYM3256,18.0,Pro,5,52.0,5.4,,No,Friend,Yes
GYM3102,37.0,Basic,3,87.0,2.2,12.0,No,Instagram,Yes
GYM3342,25.0,Pro,2,65.0,1.6,23.0,Yes,Advertisement,No
GYM3408,39.0,Basic,3,80.0,7.2,9.0,Yes,Instagram,No
GYM3389,38.0,Basic,2,40.0,7.2,13.0,No,Friend,No
GYM3148,33.0,Basic,2,92.0,2.4,25.0,No,Friend,Yes
GYM3241,36.0,Pro,4,73.0,3.7,41.0,Yes,Friend,Yes
GYM3323,17.0,Basic,1,,5.5,34.0,No,Instagram,No
GYM3452,19.0,Pro,1,,4.4,9.0,Yes,Walk-in,No
GYM3283,30.0,Basic,6,46.0,2.6,13.0,Yes,Friend,Yes
GYM3431,33.0,Basic,1,84.0,2.7,13.0,No,Instagram,No
GYM3595,34.0,Basic,4,49.0,2.3,36.0,No,Friend,Yes
GYM3579,21.0,Elite,3,64.0,3.6,30.0,Yes,Advertisement,Yes
GYM3260,24.0,Elite,1,40.0,0.7,13.0,No,Instagram,No
GYM3436,24.0,Pro,2,71.0,11.2,5.0,No,Walk-in,No
GYM3500,26.0,Basic,4,84.0,1.1,12.0,No,Walk-in,No
GYM3319,26.0,Pro,1,48.0,3.7,24.0,No,Friend,No
GYM3199,30.0,Basic,3,49.0,7.7,9.0,No,Instagram,No
GYM3480,25.0,Elite,1,89.0,4.4,36.0,Yes,Walk-in,Yes
GYM3335,27.0,Elite,4,72.0,7.0,45.0,Yes,Instagram,Yes
GYM3544,19.0,Basic,0,59.0,8.4,27.0,No,Friend,No
GYM3217,19.0,Basic,4,84.0,9.9,24.0,Yes,Instagram,Yes
GYM3441,20.0,Basic,3,88.0,8.7,32.0,Yes,Walk-in,Yes
GYM3101,20.0,Pro,1,59.0,,7.0,No,Friend,No
GYM3213,41.0,Pro,6,83.0,10.7,3.0,No,Instagram,Yes
GYM3594,16.0,Pro,3,74.0,1.8,4.0,No,Friend,No
GYM3274,25.0,Elite,4,61.0,3.0,1.0,No,Walk-in,Yes
GYM3353,30.0,Basic,2,79.0,3.2,21.0,Yes,Walk-in,Yes
GYM3538,18.0,Basic,3,101.0,9.1,19.0,No,Walk-in,Yes
GYM3284,32.0,Elite,5,90.0,2.1,14.0,Yes,Walk-in,Yes
GYM3265,39.0,Elite,2,41.0,3.6,33.0,No,Friend,Yes
GYM3472,36.0,Basic,3,59.0,8.0,4.0,No,Instagram,No
GYM3374,37.0,Elite,2,76.0,1.3,9.0,Yes,Friend,Yes
GYM3292,25.0,Pro,4,77.0,10.3,13.0,No,Walk-in,No
GYM3100,33.0,Pro,0,23.0,,21.0,Yes,Friend,No
GYM3154,32.0,Pro,5,53.0,2.6,19.0,No,Advertisement,Yes
GYM3475,26.0,Basic,4,20.0,1.5,5.0,No,Instagram,No
GYM3128,32.0,Basic,5,64.0,3.1,15.0,Yes,Friend,Yes
GYM3306,30.0,Basic,5,,0.4,23.0,No,Walk-in,Yes
GYM3483,35.0,Elite,0,70.0,8.5,34.0,Yes,Friend,Yes
GYM3586,20.0,Basic,3,49.0,8.0,31.0,Yes,Instagram,No
GYM3149,30.0,Pro,5,56.0,4.6,5.0,No,Walk-in,Yes
GYM3450,32.0,Pro,4,61.0,1.2,32.0,No,Friend,Yes
GYM3120,28.0,Basic,3,,8.9,20.0,No,Advertisement,No
GYM3393,27.0,Pro,4,62.0,5.1,10.0,No,Walk-in,Yes
GYM3276,38.0,Basic,3,65.0,3.0,17.0,No,Instagram,No
GYM3435,25.0,Basic,4,,4.0,5.0,No,Instagram,No
GYM3479,20.0,Basic,2,78.0,1.3,26.0,No,Instagram,No
GYM3133,30.0,Basic,4,50.0,6.3,20.0,No,Walk-in,No
GYM3271,19.0,Elite,1,46.0,2.3,34.0,No,Walk-in,No
GYM3107,29.0,Basic,5,,1.4,15.0,No,Walk-in,Yes
GYM3418,23.0,Basic,4,58.0,0.9,9.0,No,Friend,Yes
GYM3598,16.0,Basic,2,39.0,4.1,36.0,No,Advertisement,No
GYM3206,35.0,Basic,4,50.0,3.2,40.0,No,Friend,Yes
GYM3513,39.0,Pro,3,52.0,7.8,5.0,Yes,Walk-in,No
GYM3197,21.0,Basic,3,62.0,3.6,14.0,No,Instagram,No
GYM3210,31.0,Elite,5,27.0,18.7,25.0,Yes,Instagram,No
GYM3460,32.0,Basic,4,95.0,6.2,21.0,No,Instagram,Yes
GYM3169,29.0,Pro,2,68.0,1.3,46.0,No,Walk-in,Yes
GYM3446,25.0,Pro,4,58.0,3.1,15.0,Yes,Friend,Yes
GYM3535,25.0,Basic,3,26.0,3.1,1.0,Yes,Walk-in,No
GYM3229,27.0,Basic,5,61.0,1.6,44.0,No,Friend,Yes
GYM3416,24.0,Basic,2,109.0,1.8,1.0,No,Instagram,No
GYM3547,32.0,Basic,1,69.0,4.3,20.0,Yes,Friend,No
GYM3358,28.0,Pro,5,52.0,1.0,13.0,No,Friend,Yes
GYM3422,31.0,Pro,0,54.0,6.6,7.0,No,Instagram,No
GYM3250,28.0,Basic,3,39.0,0.4,4.0,No,Friend,No
GYM3574,23.0,Pro,2,74.0,10.0,7.0,Yes,Friend,No
GYM3437,26.0,Basic,2,,1.4,7.0,No,Walk-in,No
GYM3126,30.0,Basic,3,81.0,3.2,12.0,No,Friend,Yes
GYM3498,38.0,Basic,1,50.0,11.4,5.0,No,Walk-in,No
GYM3523,38.0,Pro,5,49.0,2.0,7.0,Yes,Advertisement,Yes
GYM3193,37.0,Basic,4,65.0,6.5,14.0,No,Friend,No
GYM3528,29.0,Basic,1,35.0,5.2,1.0,No,Advertisement,No
GYM3248,18.0,Elite,5,120.0,1.4,5.0,No,Instagram,Yes
GYM3580,28.0,Pro,3,77.0,0.4,22.0,Yes,Walk-in,Yes
GYM3522,43.0,Pro,3,,6.9,9.0,Yes,Friend,Yes
GYM3219,16.0,Pro,0,74.0,5.2,11.0,No,Instagram,No
GYM3505,38.0,Pro,3,84.0,3.1,35.0,No,Friend,Yes
GYM3238,30.0,Pro,2,47.0,5.7,28.0,No,Instagram,No
GYM3269,27.0,Basic,0,58.0,2.5,33.0,Yes,Friend,Yes
GYM3463,28.0,Pro,6,,8.4,6.0,No,Walk-in,Yes
GYM3302,31.0,Basic,0,60.0,0.5,2.0,No,Walk-in,No
GYM3247,26.0,Elite,2,,2.7,8.0,No,Instagram,No
GYM3377,26.0,Basic,1,48.0,4.5,40.0,No,Friend,No
GYM3356,18.0,Pro,1,68.0,1.4,46.0,No,Walk-in,Yes
GYM3556,33.0,Basic,1,53.0,,30.0,No,Friend,No
GYM3540,27.0,Basic,5,65.0,1.2,8.0,No,Instagram,Yes
GYM3231,20.0,Elite,1,81.0,2.4,45.0,No,Instagram,Yes
GYM3349,19.0,Basic,5,61.0,4.6,11.0,No,Instagram,Yes
GYM3252,16.0,Basic,4,68.0,8.4,10.0,No,Instagram,No
GYM3462,34.0,Basic,5,93.0,6.1,30.0,No,Friend,Yes
